変数情報
変数	位置	ラベル
MQ13_1	896	w14問13-1_この1年間の経験―自分が離婚した
MQ13_2	897	w14問13-2_この1年間の経験―父が亡くなった
MQ13_3	898	w14問13-3_この1年間の経験―母が亡くなった
MQ13_4	899	w14問13-4_この1年間の経験―自分が引っ越をした
MQ13_5	900	w14問13-5_この1年間の経験―自分が産休を取った
MQ13_6	901	w14問13-6_この1年間の経験―自分が育休を取った
MQ13_7	902	w14問13-7_この1年間の経験―自分が介護休暇・介護休業を取った
MQ13_8	903	w14問13-8_この1年間の経験―配偶者が産休を取った
MQ13_9	904	w14問13-9_この1年間の経験―配偶者が育休を取った
MQ13_10	905	w14問13-10_この1年間の経験―配偶者が介護休暇・介護休業を取った
MQ13_11	906	w14問13-11_この1年間の経験―配偶者が亡くなった
MQ13_12	907	w14問13-12_この1年間の経験―どれもなかった
MQ14	908	w14問14_子どもの有無
MQ14S	909	w14問14付問_子どもの人数
MQ14_1AY	910	w14問14付問_1人目・生まれ―生年
MQ14_1AM	911	w14問14付問_1人目・生まれ―生月
MQ14_1B	912	w14問14付問_1人目･性別
MQ14_1C	913	w14問14付問_1人目・住まい
MQ14_1D	914	w14問14付問_1人目・学校
MQ14_1E	915	w14問14付問_1人目・在学中
MQ14_1F	916	w14問14付問_1人目・仕事の有無
MQ14_2AY	917	w14問14付問_2人目・生まれ―生年
MQ14_2AM	918	w14問14付問_2人目・生まれ―生月
MQ14_2B	919	w14問14付問_2人目･性別
MQ14_2C	920	w14問14付問_2人目・住まい
MQ14_2D	921	w14問14付問_2人目・学校
MQ14_2E	922	w14問14付問_2人目・在学中
MQ14_2F	923	w14問14付問_2人目・仕事の有無
MQ14_3AY	924	w14問14付問_3人目・生まれ―生年
MQ14_3AM	925	w14問14付問_3人目・生まれ―生月
MQ14_3B	926	w14問14付問_3人目･性別
MQ14_3C	927	w14問14付問_3人目・住まい
MQ14_3D	928	w14問14付問_3人目・学校
MQ14_3E	929	w14問14付問_3人目・在学中
MQ14_3F	930	w14問14付問_3人目・仕事の有無
MQ14_4AY	931	w14問14付問_4人目・生まれ―生年
MQ14_4AM	932	w14問14付問_4人目・生まれ―生月
MQ14_4B	933	w14問14付問_4人目･性別
MQ14_4C	934	w14問14付問_4人目・住まい
MQ14_4D	935	w14問14付問_4人目・学校
MQ14_4E	936	w14問14付問_4人目・在学中
MQ14_4F	937	w14問14付問_4人目・仕事の有無
MQ14_5AY	938	w14問14付問_5人目・生まれ―生年
MQ14_5AM	939	w14問14付問_5人目・生まれ―生月
MQ14_5B	940	w14問14付問_5人目･性別
MQ14_5C	941	w14問14付問_5人目・住まい
MQ14_5D	942	w14問14付問_5人目・学校
MQ14_5E	943	w14問14付問_5人目・在学中
MQ14_5F	944	w14問14付問_5人目・仕事の有無
MQ14_6AY	945	w14問14付問_6人目・生まれ―生年
MQ14_6AM	946	w14問14付問_6人目・生まれ―生月
MQ14_6B	947	w14問14付問_6人目･性別
MQ14_6C	948	w14問14付問_6人目・住まい
MQ14_6D	949	w14問14付問_6人目・学校
MQ14_6E	950	w14問14付問_6人目・在学中
MQ14_6F	951	w14問14付問_6人目・仕事の有無
MQ14_7AY	952	w14問14付問_7人目・生まれ―生年
MQ14_7AM	953	w14問14付問_7人目・生まれ―生月
MQ14_7B	954	w14問14付問_7人目･性別
MQ14_7C	955	w14問14付問_7人目・住まい
MQ14_7D	956	w14問14付問_7人目・学校
MQ14_7E	957	w14問14付問_7人目・在学中
MQ14_7F	958	w14問14付問_7人目・仕事の有無
MQ14_8AY	959	w14問14付問_8人目・生まれ―生年
MQ14_8AM	960	w14問14付問_8人目・生まれ―生月
MQ14_8B	961	w14問14付問_8人目･性別
MQ14_8C	962	w14問14付問_8人目・住まい
MQ14_8D	963	w14問14付問_8人目・学校
MQ14_8E	964	w14問14付問_8人目・在学中
MQ14_8F	965	w14問14付問_8人目・仕事の有無
MQ14_9AY	966	w14問14付問_9人目・生まれ―生年
MQ14_9AM	967	w14問14付問_9人目・生まれ―生月
MQ14_9B	968	w14問14付問_9人目･性別
MQ14_9C	969	w14問14付問_9人目・住まい
MQ14_9D	970	w14問14付問_9人目・学校
MQ14_9E	971	w14問14付問_9人目・在学中
MQ14_9F	972	w14問14付問_9人目・仕事の有無
MQ14_10AY	973	w14問14付問_10人目・生まれ―生年
MQ14_10AM	974	w14問14付問_10人目・生まれ―生月
MQ14_10B	975	w14問14付問_10人目･性別
MQ14_10C	976	w14問14付問_10人目・住まい
MQ14_10D	977	w14問14付問_10人目・学校
MQ14_10E	978	w14問14付問_10人目・在学中
MQ14_10F	979	w14問14付問_10人目・仕事の有無
MQ15_1	980	w14問15(1)_同居している人数（本人含む）
MQ15_2A	981	w14問15(2)-0_一人暮らし
MQ15_2B	982	w14問15(2)-1_配偶者（あなたの夫または妻）
MQ15_2C	983	w14問15(2)-2_恋人
MQ15_2D	984	w14問15(2)-3_息子
MQ15_2E	985	w14問15(2)-4_娘
MQ15_2F	986	w14問15(2)-5_子どもの配偶者
MQ15_2G	987	w14問15(2)-6_孫
MQ15_2H	988	w14問15(2)-7_あなたの父親
MQ15_2I	989	w14問15(2)-8_あなたの母親
MQ15_2J	990	w14問15(2)-9_配偶者の父親
MQ15_2K	991	w14問15(2)-10_配偶者の母親
MQ15_2L	992	w14問15(2)-11_あなたの祖父
MQ15_2M	993	w14問15(2)-12_あなたの祖母
MQ15_2N	994	w14問15(2)-13_配偶者の祖父母
MQ15_2O	995	w14問15(2)-14_あなたの兄弟姉妹
MQ15_2P	996	w14問15(2)-15_配偶者の兄弟姉妹
MQ15_2Q	997	w14問15(2)-16_その他
mq15_2s	998	w14問15(2)-17_その他の親戚
mq15_2t	999	w14問14(2)-18_親戚以外
MQ15_3	1000	w14問15(3)_もう1人子どもが欲しいか
MQ15F_A	1001	w14問15(4)_A父親の健康
MQ15F_B	1002	w14問15(4)_B父親の介護
MQ15F_C	1003	w14問15(4)_C父親の介護サービス利用
MQ15M_A	1004	w14問15(4)_A母親の健康
MQ15M_B	1005	w14問15(4)_B母親の介護
MQ15M_C	1006	w14問15(4)_C母親の介護サービス利用
MQ16	1007	w14問16_自分の健康状態
MQ17	1008	w14問17_過去1年間、病気や怪我により活動ができなかった日の有無
MQ17S	1009	w14問17_過去1年間、病気や怪我により活動ができなかった日数
MQ18A	1010	w14問18_過去1年間の歯科通院日数
MQ18B	1011	w14問18_過去1年間の通院（歯科除く）日数
MQ18C	1012	w14問18_過去1年間の入院日数
MQ19A	1013	w14問19A_過去1ヶ月間―かなり神経質であったこと
MQ19B	1014	w14問19B_過去1ヶ月間―どうにもならないくらい気分が落ち込んでいたこと
MQ19C	1015	w14問19C_過去1ヶ月間―落ち着いていておだやかな気分であったこと
MQ19D	1016	w14問19D_過去1ヶ月間―落ち込んで、憂鬱な気分であったこと
MQ19E	1017	w14問19E_過去1ヶ月間―楽しい気分であったこと
MQ19F	1018	w14問19F_過去1ヶ月間―健康上の理由で、家事や仕事などが制限されたこと
MQ20A	1019	w14問20A_現在の満足度―仕事
MQ20B	1020	w14問20B_現在の満足度―結婚生活
MQ20C	1021	w14問20C_現在の満足度―友人関係
MQ20D	1022	w14問20D_現在の満足度―あなたの親との関係
MQ20E	1023	w14問20E_現在の満足度―あなたの子との関係
MQ20F	1024	w14問20F_現在の満足度―生活全般
MQ21A	1025	w14問21A_日常生じる困難や問題の解決策を見つけることができる
MQ21B	1026	w14問21B_人生で生じる困難や問題のいくつかは向き合い、取り組む価値があると思う
MQ21C	1027	w14問21C_日常生じる困難や問題を理解したり予測したりできる
MQ22A	1028	w14問22A_自分のやりたい仕事ははっきりしている
MQ22B	1029	w14問22B_自分の職業能力を向上させたいと思う
MQ22C	1030	w14問22C_将来よりも今の生活を楽しみたいと思う
MQ22D	1031	w14問22D_社会でうまくやっていけるか不安だ
MQ22E	1032	w14問22E_友だちから悩み事を打ち明けられることが多い
MQ22F	1033	w14問22F_やりたくない仕事にはつきたくない
MQ23A	1034	w14問23A_自分の考えを人に説明することができるか
MQ23B	1035	w14問23B_よく知らない人と自然に会話することができるか
MQ23C	1036	w14問23C_まわりの人をまとめてひっぱっていくことができるか
MQ23D	1037	w14問23D_面白いことを言って人を楽しませることができるか
MQ24	1038	w14問24_現在の暮らしむき
MQ25	1039	w14問25_一般的に人は信用できると思うか
MQ26	1040	w14問26_将来の自分の仕事や生活に希望があるか
MQ27A	1041	w14問27A_日本の社会には、希望がある
MQ27B	1042	w14問27B_日本の所得の格差は大きすぎる
MQ27C	1043	w14問27C_所得格差が大きいことは、日本の繁栄に必要である
MQ27D	1044	w14問27D_日本に定住しようと思って日本に来る外国人は、もっと増えたほうがよい
MQ27E	1045	w14問27E_日本経済を守るために、日本は外国製品の輸入を制限すべきだ
MQ27F	1046	w14問27F_日本人であることに誇りを感じる
MQ27G	1047	w14問27G_社会全体として、自分たちの世代は、親世代と比べて、暮らし向きがよくなった
MQ27H	1048	w14問27H_社会全体として、今の子どもが大人になる頃は、自分たちの世代よりも、暮らし向きがよくなる
MQ28	1049	w14問28_自分自身の階層の位置づけ
MQ29	1050	w14問29_10年後の自分の暮らしむき
MQ30	1051	w14問30_理想の子ども人数
MQ30S	1052	w14問30_理想の子ども人数（5人以上）
MQ31_A	1053	w14問31-1_組織への所属―政治関係の団体や会
MQ31_B	1054	w14問31-2_組織への所属―業界団体・同業者団体
MQ31_C	1055	w14問31-3_組織への所属―ボランティアのグループ
MQ31_D	1056	w14問31-4_組織への所属―宗教の団体や会
MQ31_E	1057	w14問31-5_組織への所属―市民運動・消費者運動のグループ
MQ31_F	1058	w14問31-6_組織への所属―スポーツ関係のグループやクラブ
MQ31_G	1059	w14問31-7_組織への所属―自治会・町内会
MQ31_H	1060	w14問31-8_組織への所属―労働組合
MQ31_I	1061	w14問31-9_組織への所属―趣味の会
MQ31_J	1062	w14問31-10_組織への所属―学習のためのサークル
MQ31_K	1063	w14問31-11_組織への所属―どれにも加入していない
MQ32A	1064	w14問32A_日本の防衛力はもっと強化するべきだ
MQ32B	1065	w14問32B_日米安保体制は現在よりももっと強化するべきだ
MQ32C	1066	w14問32C_収入の多い人と少ない人の所得格差を縮めるのは政府の責任だ
MQ32D	1067	w14問32D_公共事業による地方の雇用確保は必要だ
MQ32E	1068	w14問32E_社会保障は財政が苦しくても極力充実するべきだ
MQ32F	1069	w14問32F_お年寄りや心身の不自由な人は別として、すべての人は社会福祉をあてにしないで生活しなければならない
MQ33A	1070	w14問33A_私の住んでいるこの地区はとても安全である
MQ33B	1071	w14問33B_自分の住んでいる地域では、近隣の人同士お互いに助け合って生活している
MQ33C	1072	w14問33C_急病のときなど、すぐにかかれる医療機関があって安心できる地域である
MQ34A	1073	w14問34A_子どもについての意見―できるだけ高い教育を受けさせたい
MQ34B	1074	w14問34B_子どもについての意見―家庭教師をつけたり、塾に通わせたい
MQ34C	1075	w14問34C_子どもについての意見―出来るだけ多くの財産を残してやりたい
MQ35	1076	w14問35_ふだん支持している政党
MQ36	1077	w14問36_政治上の出来事への関心
MQ37A	1078	w14問37A_自民党への感情
MQ37B	1079	w14問37B_公明党への感情
MQ37C	1080	w14問37C_安倍晋三への感情
MQ37D	1081	w14問37D_日本への感情
MQ37E	1082	w14問37E_アメリカ合衆国への感情
MQ37F	1083	w14問37F_中国（中華人民共和国）への感情
MQ38A	1084	w14問38_過去1年間の収入―本人
MQ38B	1085	w14問38_過去1年間の収入―配偶者
MQ38C	1086	w14問38_過去1年間の収入―世帯全体
MQ39_A	1087	w14問39-1_世帯の収入源―賃金・給料
MQ39_B	1088	w14問39-2_世帯の収入源―農林漁業からの事業収入
MQ39_C	1089	w14問39-3_世帯の収入源―農林漁業以外の事業収入
MQ39_D	1090	w14問39-4_世帯の収入源―内職収入
MQ39_E	1091	w14問39-5_世帯の収入源―家賃・地代
MQ39_F	1092	w14問39-6_世帯の収入源―利子・配当
MQ39_G	1093	w14問39-7_世帯の収入源―仕送り
MQ39_H	1094	w14問39-8_世帯の収入源―年金（除く障害年金）・恩給
MQ39_I	1095	w14問39-9_世帯の収入源―障害年金
MQ39_J	1096	w14問39-10_世帯の収入源―雇用保険（失業給付等）
MQ39_K	1097	w14問39-11_世帯の収入源―生活保護
MQ39_L	1098	w14問39-12_世帯の収入源―児童扶養手当
MQ39_M	1099	w14問39-13_世帯の収入源―その他
MQ40	1100	w14問40_世帯で所有している資産の総額
MQ41	1101	w14問41_現在の住居の形態
MQ41_A	1102	w14問41付問-1_持家の所有者―本人
MQ41_B	1103	w14問41付問-2_持家の所有者―配偶者
MQ41_C	1104	w14問41付問-3_持家の所有者―父または母
MQ41_D	1105	w14問41付問-4_持家の所有者―配偶者の父または母
MQ41_E	1106	w14問41付問-5_持家の所有者―その他
MQ42A_1	1107	w14問42A_1_居住費_世帯
MQ42A_2	1108	w14問42A_2_食料_世帯
MQ42A_3	1109	w14問42A_3_支出総額_世帯
MQ42B_1	1110	w14問42B_1_居住費_個人
MQ42B_2	1111	w14問42B_2_食料_個人
MQ42B_3	1112	w14問42B_3_支出総額_個人
MQ43	1113	w14問43_学校外教育投資額
MQ44	1114	w14問44_資産の相続・贈与の有無
MQ44S	1115	w14問44付問_相続・贈与された財産の合計金額
MQ45_A	1116	w14問45-1_自宅にあるもの―風呂
MQ45_B	1117	w14問45-2_自宅にあるもの―水洗トイレ
MQ45_C	1118	w14問45-3_自宅にあるもの―子供部屋
MQ45_D	1119	w14問45-4_自宅にあるもの―ピアノ
MQ45_E	1120	w14問45-5_自宅にあるもの―冷蔵庫
MQ45_F	1121	w14問45-6_自宅にあるもの―洗濯機
MQ45_G	1122	w14問45-7_自宅にあるもの―食器洗い機
MQ45_H	1123	w14問45-8_自宅にあるもの―クーラー・エアコン
MQ45_I	1124	w14問45-9_自宅にあるもの―空気清浄機
MQ45_J	1125	w14問45-10_自宅にあるもの―電話（携帯電話・スマートフォン含む）
MQ45_K	1126	w14問45-11_自宅にあるもの―電子レンジ
MQ45_L	1127	w14問45-12_自宅にあるもの―衛星放送・ケーブルテレビ
MQ45_M	1128	w14問45-13_自宅にあるもの―高速インターネット回線
MQ45_N	1129	w14問45-14_自宅にあるもの―パソコン
MQ45_O	1130	w14問45-15_自宅にあるもの―タブレット端末
MQ45_P	1131	w14問45-16_自宅にあるもの―スポーツ会員権（ゴルフ・テニス等）
MQ45_Q	1132	w14問45-17_自宅にあるもの―学習用机
MQ45_R	1133	w14問45-18_自宅にあるもの―文学全集・図鑑
MQ45_S	1134	w14問45-19_自宅にあるもの―美術品・骨董品
MQ45_T	1135	w14問45-20_自宅にあるもの―株券または債券
MQ45_U	1136	w14問45-21_自宅にあるもの―乗用車
MQ45_V	1137	w14問45-22_自宅にあるもの―別荘
MQ45_W	1138	w14問45-23_自宅にあるもの―田畑（家庭菜園は除く）
MQ45_X	1139	w14問45-24_自宅にあるもの―どれもない
MQ46	1140	w14問46_婚姻状態
MQ47_1	1141	w14問47(1)_配偶者職・働き方
MQ47_2	1142	w14問47(2)_配偶者職・職業―大分類(プリコード)
mq47_2c	1143	w14問47(2)_配偶者職・職業―小分類（07版）
mq47_2l	1144	w14問47(2)_配偶者職・職業―大分類（アフターコード）
MQ47_3	1145	w14問47(3)_配偶者職・役職
MQ47_4A	1146	w14問47(4)A_配偶者職・従事時間（1日あたり）
MQ47_4M	1147	w14問47(4)B_配偶者職・従事日数（月あたり）
MQ47_4X	1148	w14問47(4)C_配偶者職・家に帰ってくる時間
MQ47_4Y	1149	w14問47(4)C_配偶者職・家に帰ってくる時間―時
MQ47_4Z	1150	w14問47(4)C_配偶者職・家に帰ってくる時間―分
MQ47_5	1151	w14問47(5)_配偶者職・企業規模
MQ48A	1152	w14問48A_頻度―配偶者が食事の用意
MQ48B	1153	w14問48B_頻度―配偶者が洗濯
MQ48C	1154	w14問48C_頻度―配偶者が家の掃除
MQ48D	1155	w14問48D_頻度―配偶者が日用品・食料品の買い物
MQ48E	1156	w14問48E_頻度―夫婦で一緒に食事をする
MQ48F	1157	w14問48F_頻度―夫婦で話をする
MQ48G	1158	w14問48G_頻度―子どもと遊ぶ（子どものいる方のみ）
MQ48H	1159	w14問48_頻度―介護（仕事以外で）
MQ49	1160	w14問49_婚前同棲期間の有無
MQ49Y	1161	w14問49_婚前同棲期間（年）
MQ49M	1162	w14問49_婚前同棲期間（月）
MQ50	1163	w14問50_婚姻届出の有無
MQ51Y	1164	w14問51_配偶者の生まれ―年
MQ51M	1165	w14問51_配偶者の生まれ―月
MQ52	1166	w14問52_配偶者の最後に通ったまたは通学中の学校
MQ53_1AY	1167	w14問53(1)_配偶者との交際開始時―年
MQ53_1AM	1168	w14問53(1)_配偶者との交際開始時―月
MQ53_1BY	1169	w14問53(1)_結婚時―年
MQ53_1BM	1170	w14問53(1)_結婚時―月
MQ53_2A	1171	w14問53(2)-1_配偶者と知り合ったきっかけ―親・きょうだいの紹介で
MQ53_2B	1172	w14問53(2)-2_配偶者と知り合ったきっかけ―親・きょうだい以外の親族の紹介で
MQ53_2C	1173	w14問53(2)-3_配偶者と知り合ったきっかけ―友人・知人・幼なじみの紹介で
MQ53_2D	1174	w14問53(2)-4_配偶者と知り合ったきっかけ―職場の同僚・上司の紹介で
MQ53_2E	1175	w14問53(2)-5_配偶者と知り合ったきっかけ―職場で
MQ53_2F	1176	w14問53(2)-6_配偶者と知り合ったきっかけ―学校での授業・部活・サークル活動で
MQ53_2G	1177	w14問53(2)-7_配偶者と知り合ったきっかけ―アルバイト先で
MQ53_2H	1178	w14問53(2)-8_配偶者と知り合ったきっかけ―趣味・習い事で
MQ53_2I	1179	w14問53(2)-9_配偶者と知り合ったきっかけ―合コンで
MQ53_2J	1180	w14問53(2)-10_配偶者と知り合ったきっかけ―お見合いで
MQ53_2K	1181	w14問53(2)-11_配偶者と知り合ったきっかけ―お見合いパーティーで
MQ53_2L	1182	w14問53(2)-12_配偶者と知り合ったきっかけ―インターネット・携帯を通して
MQ53_2M	1183	w14問53(2)-13_配偶者と知り合ったきっかけ―街中や旅先で
MQ53_2N	1184	w14問53(2)-14_配偶者と知り合ったきっかけ―結婚相談所や結婚仲介サービスで
MQ53_2O	1185	w14問53(2)-15_配偶者と知り合ったきっかけ―その他
MQ54	1186	w14問54_結婚についてどのように考えているか
MQ55A	1187	w14問55A_結婚相手に重視する点―性格・人柄
MQ55B	1188	w14問55B_結婚相手に重視する点―容姿・外見
MQ55C	1189	w14問55C_結婚相手に重視する点―学歴
MQ55D	1190	w14問55D_結婚相手に重視する点―年収
MQ55E	1191	w14問55E_結婚相手に重視する点―年齢
MQ55DA	1192	w14問55D_結婚相手に重視する点―年収（下限）
MQ55DB	1193	w14問55D_結婚相手に重視する点―年収（上限）
MQ55EA	1194	w14問55E_結婚相手に重視する点―年齢（下限）
MQ55EB	1195	w14問55E_結婚相手に重視する点―年齢（上限）
MQ56_1	1196	w14問56(1)_よく話をする異性の数
MQ56_2	1197	w14問56(2)_交際してみたい異性と出会うきっかけ
MQ56_3A	1198	w14問56(3)-1_この1年間に交際してみたい異性と出会うためにやったこと―親・きょうだいに紹介を依頼
MQ56_3B	1199	w14問56(3)-2_この1年間に交際してみたい異性と出会うためにやったこと―親・きょうだい以外の親族に紹介を依頼
MQ56_3C	1200	w14問56(3)-3_この1年間に交際してみたい異性と出会うためにやったこと―友人・知人・幼なじみに紹介を依頼
MQ56_3D	1201	w14問56(3)-4_この1年間に交際してみたい異性と出会うためにやったこと―職場・アルバイト先の同僚・上司に紹介を依頼
MQ56_3E	1202	w14問56(3)-5_この1年間に交際してみたい異性と出会うためにやったこと―学校の授業・部活・サークル活動などに参加
MQ56_3F	1203	w14問56(3)-6_この1年間に交際してみたい異性と出会うためにやったこと―趣味・習い事に参加
MQ56_3G	1204	w14問56(3)-7_この1年間に交際してみたい異性と出会うためにやったこと―合コンに参加
MQ56_3H	1205	w14問56(3)-8_この1年間に交際してみたい異性と出会うためにやったこと―お見合いに参加
MQ56_3I	1206	w14問56(3)-9_この1年間に交際してみたい異性と出会うためにやったこと―お見合いパーティーに参加
MQ56_3J	1207	w14問56(3)-10_この1年間に交際してみたい異性と出会うためにやったこと―インターネット・携帯を通してさがす
MQ56_3K	1208	w14問56(3)-11_この1年間に交際してみたい異性と出会うためにやったこと―街中や旅先で声をかける
MQ56_3L	1209	w14問56(3)-12_この1年間に交際してみたい異性と出会うためにやったこと―結婚相談所や結婚仲介サービスに登録
MQ56_3M	1210	w14問56(3)-13_この1年間に交際してみたい異性と出会うためにやったこと―その他
MQ56_3N	1211	w14問56(3)-14_この1年間に交際してみたい異性と出会うためにやったこと―特にない
MQ57	1212	w14問57_同棲経験はあるか
MQ57_1Y	1213	w14問57_同棲経験期間―年
MQ57_1M	1214	w14問57_同棲経験期間―月
MQ58	1215	w14問58_現在交際している人はいるか
MQ59_1Y	1216	w14問59(1)_交際期間―年
MQ59_1M	1217	w14問59(1)_交際期間―月
MQ59_2A	1218	w14問59(2)-1_婚約者・交際相手と知り合ったきっかけ―親・きょうだいの紹介で
MQ59_2B	1219	w14問59(2)-2_婚約者・交際相手と知り合ったきっかけ―親・きょうだい以外の親族の紹介で
MQ59_2C	1220	w14問59(2)-3_婚約者・交際相手と知り合ったきっかけ―友人・知人・幼なじみの紹介で
MQ59_2D	1221	w14問59(2)-4_婚約者・交際相手と知り合ったきっかけ―職場の同僚・上司の紹介で
MQ59_2E	1222	w14問59(2)-5_婚約者・交際相手と知り合ったきっかけ―職場で
MQ59_2F	1223	w14問59(2)-6_婚約者・交際相手と知り合ったきっかけ―学校での授業・部活・サークル活動で
MQ59_2G	1224	w14問59(2)-7_婚約者・交際相手と知り合ったきっかけ―アルバイト先で
MQ59_2H	1225	w14問59(2)-8_婚約者・交際相手と知り合ったきっかけ―趣味・習い事で
MQ59_2I	1226	w14問59(2)-9_婚約者・交際相手と知り合ったきっかけ―合コンで
MQ59_2J	1227	w14問59(2)-10_婚約者・交際相手と知り合ったきっかけ―お見合いで
MQ59_2K	1228	w14問59(2)-11_婚約者・交際相手と知り合ったきっかけ―お見合いパーティーで
MQ59_2L	1229	w14問59(2)-12_婚約者・交際相手と知り合ったきっかけ―インターネット・携帯を通して
MQ59_2M	1230	w14問59(2)-13_婚約者・交際相手と知り合ったきっかけ―街中や旅先で
MQ59_2N	1231	w14問59(2)-14_婚約者・交際相手と知り合ったきっかけ―結婚相談所や結婚仲介サービスで
MQ59_2O	1232	w14問59(2)-15_婚約者・交際相手と知り合ったきっかけ―その他
MQ59_3	1233	w14問59(3)_婚約者・交際相手最終学歴
MQ60_A	1234	w14問60-1_現在独身でいる理由―結婚するにはまだ若すぎるから
MQ60_B	1235	w14問60-2_現在独身でいる理由―結婚するには年をとりすぎているから
MQ60_C	1236	w14問60-3_現在独身でいる理由―結婚する必要性をまだかんじないから
MQ60_D	1237	w14問60-4_現在独身でいる理由―今は、仕事（または学業）にうちこみたいから
MQ60_E	1238	w14問60-5_現在独身でいる理由―今は、趣味や娯楽を楽しみたいから
MQ60_F	1239	w14問60-6_現在独身でいる理由―適当な相手にまだめぐり会わないから
MQ60_G	1240	w14問60-7_現在独身でいる理由―独身の自由さや気楽さを失いたくないから
MQ60_H	1241	w14問60-8_現在独身でいる理由―家の居心地がいいから
MQ60_I	1242	w14問60-9_現在独身でいる理由―異性とつきあう時間がないから
MQ60_J	1243	w14問60-10_現在独身でいる理由―異性とうまくつきあえないから
MQ60_K	1244	w14問60-11_現在独身でいる理由―結婚後の経済状況に不安があるから
MQ60_L	1245	w14問60-12_現在独身でいる理由―現在の交際をもっと深めたいから
MQ60_M	1246	w14問60-13_現在独身でいる理由―現在の交際相手との結婚を決めるタイミング、きっかけがないから
MQ60_N	1247	w14問60-14_現在独身でいる理由―交際相手が結婚を望んでいないから
MQ60_O	1248	w14問60-15_現在独身でいる理由―結婚資金が足りないから
MQ60_P	1249	w14問60-16_現在独身でいる理由―親や周囲が結婚に同意しないから
MQ60_Q	1250	w14問60-17_現在独身でいる理由―結婚後の生活全般に不安があるから
MQ60_R	1251	w14問60-18_現在独身でいる理由―その他
MQ60_S	1252	w14問60-19_現在独身でいる理由―現在の交際相手ともうすぐ結婚する予定
MQ61A_1	1253	w14問61A_小学生時―塾・予備校
MQ61A_2	1254	w14問61A_小学生時―家庭教師
MQ61A_3	1255	w14問61A_小学生時―通信添削
MQ61A_4	1256	w14問61A_小学生時―どれも経験無し
MQ61B_1	1257	w14問61B_中学生時―塾・予備校
MQ61B_2	1258	w14問61B_中学生時―家庭教師
MQ61B_3	1259	w14問61B_中学生時―通信添削
MQ61B_4	1260	w14問61B_中学生時―どれも経験無し
MQ61C_1	1261	w14問61C_高校生時―塾・予備校
MQ61C_2	1262	w14問61C_高校生時―家庭教師
MQ61C_3	1263	w14問61C_高校生時―通信添削
MQ61C_4	1264	w14問61C_高校生時―どれも経験無し
MQ61C_5	1265	w14問61C_高校に進学していない
MQ62	1266	w14問62_中学3年生時の進学希望
MQ63A	1267	w14問63A_中学生時の保護者―あなたの学校での成績に関心をもっていた
MQ63B	1268	w14問63B_中学生時の保護者―あなたの勉強がはかどるように気をつかっていた
MQ63C	1269	w14問63C_中学生時の保護者―あなたの学校での授業参観やPTAの行事などに参加していた
MQ63D	1270	w14問63D_中学生時の保護者―あなたの礼儀作法に厳しかった
MQ63E	1271	w14問63E_中学生時の保護者―あなたのことをよく理解していた
MQ63F	1272	w14問63F_中学生時の保護者―あなたの将来に期待していた
MQ64	1273	w14問64_独子かどうか
MQ64_1A	1274	w14問64付問-1_きょうだい1人目＿種別
MQ64_1B	1275	w14問64付問-1_きょうだい1人目＿学歴
MQ64_2A	1276	w14問64付問-2_きょうだい2人目＿種別
MQ64_2B	1277	w14問64付問-2_きょうだい2人目＿学歴
MQ64_3A	1278	w14問64付問-3_きょうだい3人目＿種別
MQ64_3B	1279	w14問64付問-3_きょうだい3人目＿学歴
MQ64_4A	1280	w14問64付問-4_きょうだい4人目＿種別
MQ64_4B	1281	w14問64付問-4_きょうだい4人目＿学歴
MQ64_5A	1282	w14問64付問-5_きょうだい5人目＿種別
MQ64_5B	1283	w14問64付問-5_きょうだい5人目＿学歴
MQ65A	1284	w14問65A_ふだんの習慣―15歳時・朝食
MQ65B	1285	w14問65B_ふだんの習慣―15歳時・はみがき
MQ66_1	1286	w14問66-1_中学生時の経験―授業をさぼった
MQ66_2	1287	w14問66-2_中学生時の経験―学校でタバコ
MQ66_3	1288	w14問66-3_中学生時の経験―教師に暴力
MQ66_4	1289	w14問66-4_中学生時の経験―いずれもない
MQ67_1	1290	w14問67-1_中学校の様子―学校が荒れていた
MQ67_2	1291	w14問67-2_中学校の様子―遅刻者が多かった
MQ67_3	1292	w14問67-3_中学校の様子―校則が厳しかった
MQ67_4	1293	w14問67-4_中学校の様子―どれもあてはまらない
MQ68	1294	w14問68_中学卒業後の進路
MQ69	1295	w14問69_18歳までに持った疾患・障がいの有無
MQ70	1296	w14問70_高校・課程
MQ70_1A	1297	w14問70付問-1A_高校・設置者
MQ70_1B	1298	w14問70付問-1B_高校・学科
MQ70_1C	1299	w14問70付問-1C_高校・入学経路
MQ70_1D	1300	w14問70付問-1D_高校・卒業中退
MQ70_2	1301	w14問70付問-2_高校・3年時成績
MQ70_3	1302	w14問70付問-3_高校・高等教育進学割合
MQ70_4	1303	w14問70付問-4_高校・卒業後の進路
MQ71_1A	1304	w14問71(1)A_最後に通った学校・勉強授業
MQ71_1B	1305	w14問71(1)B_最後に通った学校・クラブサークル部活動
MQ71_1C	1306	w14問71(1)C_最後に通った学校・友達や仲間とのつきあい
MQ71_1D	1307	w14問71(1)D_最後に通った学校・アルバイト
MQ71_1E	1308	w14問71(1)E_最後に通った学校・旅行レジャー
MQ71_1F	1309	w14問71(1)F_最後に通った学校・恋愛
